Stimmbezirk,StimmbezirkNr,StimmbezirkArt,Wahlberechtigte,Waehler,UngueltigeStimmen,GueltigeStimmen
Gesamt,NA,NA,17301,15018,89,14929
Stimmbezirk 1,1,Wahllokal,1455,491,1,490
Stimmbezirk 2,2,Wahllokal,895,284,2,282
Stimmbezirk 3,3,Wahllokal,1092,362,1,361
Stimmbezirk 4,4,Wahllokal,2045,551,3,548
Stimmbezirk 5,5,Wahllokal,1272,335,1,334
Stimmbezirk 6,6,Wahllokal,1274,407,2,405
Stimmbezirk 7,7,Wahllokal,1330,379,7,372
Stimmbezirk 8,8,Wahllokal,1191,378,7,371
Stimmbezirk 9,9,Wahllokal,997,274,0,274
Stimmbezirk 10,10,Wahllokal,1056,292,0,292
Stimmbezirk 11,11,Wahllokal,1086,276,1,275
Stimmbezirk 12,12,Wahllokal,1182,349,4,345
Stimmbezirk 13,13,Wahllokal,1038,268,0,268
Stimmbezirk 14,14,Wahllokal,1388,442,1,441
Stimmbezirk 31,31,Briefwahl,0,1239,10,1229
Stimmbezirk 32,32,Briefwahl,0,594,1,593
Stimmbezirk 33,33,Briefwahl,0,1151,3,1148
Stimmbezirk 34,34,Briefwahl,0,800,19,781
Stimmbezirk 35,35,Briefwahl,0,717,6,711
Stimmbezirk 36,36,Briefwahl,0,753,5,748
Stimmbezirk 37,37,Briefwahl,0,694,2,692
Stimmbezirk 38,38,Briefwahl,0,568,3,565
Stimmbezirk 39,39,Briefwahl,0,639,0,639
Stimmbezirk 40,40,Briefwahl,0,699,1,698
Stimmbezirk 41,41,Briefwahl,0,697,2,695
Stimmbezirk 42,42,Briefwahl,0,644,5,639
Stimmbezirk 43,43,Briefwahl,0,735,2,733
